Areas;Unidade;2022;2021;2020;2019;2018;;;;
Total das atividades culturais e criativas;1000 euros;-;2 509 603;2 165 896;2 507 687;2 351 699;;;;
1811: Impressão de jornais;1000 euros;-;4 693;4 741;6 812;7 149;;;;
1812: Outra impressão;1000 euros;-;303 534;268 708;326 802;321 657;;;;
1813: Atividades de preparação da impressão e de produtos media;1000 euros;-;61 009;54 739;76 973;78 365;;;;
1814: Encadernação e atividades relacionadas;1000 euros;-;7 593;7 143;9 005;9 591;;;;
1820: Reprodução de suportes gravados;1000 euros;-;1 027;722;3 102;3 132;;;;
3212: Fabricação de joalharia, ourivesaria e artigos similares;1000 euros;-;31 427;22 393;35 395;31 601;;;;
3220: Fabricação de instrumentos musicais;1000 euros;-;3 721;3 361;3 375;3 150;;;;
4761: Comércio a retalho de livros, em estabelecimentos especializados;1000 euros;-;29 197;24 169;35 071;32 587;;;;
4762: Comércio a retalho de jornais, revistas e artigos de papelaria, em estabelecimentos especializados;1000 euros;-;92 301;99 938;112 927;108 434;;;;
4763: Comércio a retalho de discos, CD, DVD, cassetes e similares, em estabelecimentos especializados;1000 euros;-;761;801;1 270;1 018;;;;
5811: Edição de livros;1000 euros;-;119 350;136 624;110 064;95 948;;;;
5813: Edição de jornais;1000 euros;-;58 196;58 897;55 172;53 828;;;;
5814: Edição de revistas e de outras publicações periódicas;1000 euros;-;51 609;49 375;54 649;60 870;;;;
5821: Edição de jogos de computador;1000 euros;-;12 365;3 959;868;1 321;;;;
5911: Produção de filmes, de vídeos e de programas de televisão;1000 euros;-;129 469;101 479;109 160;104 870;;;;
5912: Atividades técnicas de pós-produção para filmes, vídeos e programas de televisão;1000 euros;-;10 854;8 911;9 144;6 903;;;;
5913: Distribuição de filmes, de vídeos e de programas de televisão;1000 euros;-;40 559;32 679;40 343;42 256;;;;
5914: Projeção de filmes e de vídeos;1000 euros;-;16 320;18 587;37 793;32 509;;;;
5920: Atividades de gravação de som e edição de música;1000 euros;-;19 701;15 305;17 738;18 369;;;;
6010: Atividades de rádio;1000 euros;-;32 117;27 808;41 145;36 720;;;;
6020: Atividades de televisão;1000 euros;-;323 568;303 062;299 300;296 054;;;;
6391: Atividades de agências de notícias;1000 euros;-;16 581;16 616;20 156;16 986;;;;
7111: Atividades de arquitetura;1000 euros;-;268 915;237 402;252 568;221 744;;;;
7311: Agências de publicidade;1000 euros;-;360 506;301 260;336 581;308 807;;;;
7410: Atividades de design;1000 euros;-;160 502;132 152;144 702;132 594;;;;
7420: Atividades fotográficas;1000 euros;-;35 118;30 690;44 812;41 995;;;;
7430: Atividades de tradução e interpretação;1000 euros;-;53 461;47 249;49 306;44 029;;;;
7722: Aluguer de videocassetes e discos;1000 euros;-;233;207;87;161;;;;
8552: Ensino de atividades culturais;1000 euros;-;3 727;3 209;4 022;3 455;;;;
9001: Atividades das artes do espetáculo;1000 euros;-;145 782;84 033;154 645;137 433;;;;
9002: Atividades de apoio às artes do espetáculo;1000 euros;-;34 707;16 929;39 795;32 181;;;;
9003: Criação artística e literária;1000 euros;-;65 034;43 882;54 358;49 202;;;;
9004: Exploração de salas de espetáculos e atividades conexas;1000 euros;-;2 697;1 484;2 830;2 571;;;;
9101: Atividades das bibliotecas e arquivos;1000 euros;-;8 781;7 284;4 700;3 850;;;;
9102: Atividades dos museus;1000 euros;-;-5 375;-6 198;4 872;3 201;;;;
9103: Atividades dos sítios e monumentos históricos;1000 euros;-;9 559;6 300;8 145;7 157;;;;
Em percentagem no total do sector empresarial não financeiro;%;-;2,3;2,3;2,4;2,4;;;;
;;;;;;;;;;
1.4.5. Produtividade aparente do trabalho;;;;;;;;;;
Total das atividades culturais e criativas;1000 euros;-;22;19,2;21,1;20,5;;;;
1811: Impressão de jornais;1000 euros;-;31;24,9;24,7;24,5;;;;
1812: Outra impressão;1000 euros;-;30,2;26,2;29,1;28,8;;;;
1813: Atividades de preparação da impressão e de produtos media;1000 euros;-;23,1;20,2;23;23,1;;;;
1814: Encadernação e atividades relacionadas;1000 euros;-;17,4;16,3;19,2;19,4;;;;
1820: Reprodução de suportes gravados;1000 euros;-;16,2;9,9;26,5;29,9;;;;
3212: Fabricação de joalharia, ourivesaria e artigos similares;1000 euros;-;18,9;13;17,2;15;;;;
3220: Fabricação de instrumentos musicais;1000 euros;-;18,7;17;16,1;15,6;;;;
4761: Comércio a retalho de livros, em estabelecimentos especializados;1000 euros;-;19,1;15,3;20,1;18,4;;;;
4762: Comércio a retalho de jornais, revistas e artigos de papelaria, em estabelecimentos especializados;1000 euros;-;14;13,6;14,5;13,6;;;;
4763: Comércio a retalho de discos, CD, DVD, cassetes e similares, em estabelecimentos especializados;1000 euros;-;10;9,3;12,7;9,8;;;;
5811: Edição de livros;1000 euros;-;55,9;65;53,4;44,1;;;;
5813: Edição de jornais;1000 euros;-;28,1;28,6;25;23,9;;;;
5814: Edição de revistas e de outras publicações periódicas;1000 euros;-;32;29,4;29,1;32,1;;;;
5821: Edição de jogos de computador;1000 euros;-;36,6;22,8;8,6;14,7;;;;
5911: Produção de filmes, de vídeos e de programas de televisão;1000 euros;-;30,1;25;26,8;26,9;;;;
5912: Atividades técnicas de pós-produção para filmes, vídeos e programas de televisão;1000 euros;-;18,3;16;17,1;17,1;;;;
5913: Distribuição de filmes, de vídeos e de programas de televisão;1000 euros;-;223,1;177,3;208;213;;;;
5914: Projeção de filmes e de vídeos;1000 euros;-;17,2;19,9;34,2;30;;;;
5920: Atividades de gravação de som e edição de música;1000 euros;-;26,8;20,2;22,4;24,8;;;;
6010: Atividades de rádio;1000 euros;-;28,9;23,1;33;29,5;;;;
6020: Atividades de televisão;1000 euros;-;128;121,5;118,8;118,9;;;;
6391: Atividades de agências de notícias;1000 euros;-;45,3;46,9;44,9;40,8;;;;
7111: Atividades de arquitetura;1000 euros;-;17,6;16,1;16,9;16;;;;
7311: Agências de publicidade;1000 euros;-;28;24,3;26,7;25,9;;;;
7410: Atividades de design;1000 euros;-;14,7;13;14,4;14,5;;;;
7420: Atividades fotográficas;1000 euros;-;9,1;7,8;10,2;10,3;;;;
7430: Atividades de tradução e interpretação;1000 euros;-;12,5;11,6;12;11;;;;
7722: Aluguer de videocassetes e discos;1000 euros;-;11;8,9;4;6,9;;;;
8552: Ensino de atividades culturais;1000 euros;-;10,9;9,7;10,5;9,9;;;;
9001: Atividades das artes do espetáculo;1000 euros;-;9,4;5,4;8,5;7,9;;;;
9002: Atividades de apoio às artes do espetáculo;1000 euros;-;20,7;10,7;22,4;16,4;;;;
9003: Criação artística e literária;1000 euros;-;10,5;7,4;8,6;8;;;;
9004: Exploração de salas de espetáculos e atividades conexas;1000 euros;-;27,1;12,1;23,2;23,3;;;;
9101: Atividades das bibliotecas e arquivos;1000 euros;-;32;24,5;24,8;25,3;;;;
9102: Atividades dos museus;1000 euros;-;29,4;27,7;29,2;25,3;;;;
9103: Atividades dos sítios e monumentos históricos;1000 euros;-;16,6;14,6;20,3;17,6;;;;
Total do sector empresarial não financeiro;1000 euros;-;26,3;23,2;24,7;24,3;;;;
Nota: Os dados de 2022 são preliminares (Versão de 31-10-2023).;;;;;;;;;;
Fonte: INE, I.P., Sistema de Contas Integradas das Empresas;;;;;;;;;;
;;;;;;;;;;
1.5. REMUNERAÇÃO MENSAL BRUTA MÉDIA POR TRABALHADOR NAS ATIVIDADES CULTURAIS E CRIATIVAS;;;;;;;;;;
Remuneração bruta total;Euros;1 417;1 363;1 304;1 287;1 261;;;;
Remuneração bruta regular;Euros;1 169;1 131;1 087;1 068;1 049;;;;
Remuneração bruta base;Euros;1 092;1 055;1 014;997;979;;;;
